Disease,Temperature,Humidity,Rainfall,Moisture,Wind speed,Spreading time duration,
Root rot,25,80,50,60,1,10,
Root rot,30,90,100,70,2,5,
Root rot,35,100,150,80,3,2,
Root rot,40,110,200,90,4,1,
Root rot,25,80,50,60,1.5,9,
Root rot,30,90,100,70,2.5,5,
Root rot,35,100,150,80,3.5,2,
Root rot,40,110,200,90,4.5,1,
Leaf spot,25,80,50,60,1,5,
Leaf spot,30,90,100,70,2,4,
Leaf spot,35,100,150,80,3,3,
Leaf spot,40,110,200,90,4,2,
Leaf spot,25,80,50,60,1.5,4,
Leaf spot,30,90,100,70,2.5,3,
Leaf spot,35,100,150,80,3.5,2,
Leaf spot,40,110,200,90,4.5,1.5,
Cankers,25,80,50,60,1,10,
Cankers,30,90,100,70,2,5,
Cankers,35,100,150,80,3,2,
Cankers,40,110,200,90,4,1,
Cankers,25,80,50,60,1.5,9,
Cankers,30,90,100,70,2.5,5,
Cankers,35,100,150,80,3.5,2,
Cankers,40,110,200,90,4.5,1,
Anthracnose,25,80,50,60,2,5,
Anthracnose,30,90,100,70,3,4,
Anthracnose,35,100,150,80,4,3,
Anthracnose,40,110,200,90,5,2,
Anthracnose,25,80,50,60,1.5,5,
Anthracnose,30,90,100,70,2.5,4,
Anthracnose,35,100,150,80,3.5,3,
Anthracnose,40,110,200,90,4.5,2,
Root rot,5,80,50,60,1,10,
Root rot,10,90,100,70,2,5,
Root rot,15,100,150,80,3,2,
Root rot,20,110,200,90,4,1,
Root rot,5,80,50,60,1.5,9,
Root rot,10,90,100,70,2.5,5,
Root rot,15,100,150,80,3.5,2,
Root rot,20,110,200,90,4.5,1,
Leaf spot,5,80,50,60,1,5,
Leaf spot,10,90,100,70,2,4,
Leaf spot,15,100,150,80,3,3,
Leaf spot,20,110,200,90,4,2,
Leaf spot,5,80,50,60,1.5,4,
Leaf spot,10,90,100,70,2.5,3,
Leaf spot,15,100,150,80,3.5,2,
Leaf spot,20,110,200,90,4.5,1.5,
Cankers,5,80,50,60,1,10,
Cankers,10,90,100,70,2,5,
Cankers,15,100,150,80,3,2,
Cankers,20,110,200,90,4,1,
Cankers,5,80,50,60,1.5,9,
Cankers,10,90,100,70,2.5,5,
Cankers,15,100,150,80,3.5,2,
Cankers,20,110,200,90,4.5,1,
Anthracnose,5,80,50,60,2,5,
Anthracnose,10,90,100,70,3,4,
Anthracnose,15,100,150,80,4,3,
Anthracnose,20,110,200,90,5,2,
Anthracnose,5,80,50,60,1.5,5,
